[TOP PAGE] /	GET	L311	0.002768	L314	0.000423	L318	0.009726	L322	
[TOP PAGE] /	GET	L315	0.002862	L318	0.000401	L322	0.008807	L326	
[TOP PAGE] /	GET	L315	0.003275	L318	0.000566	L322	0.015012	L326	
[TOP PAGE] /	GET	L315	0.002728	L318	0.000476	L322	0.008031	L326	
[TOP PAGE] /	GET	L317	0.003205	L320	0.000589	L324	0.010149	L328	
[TOP PAGE] /	GET	L317	0.002980	L320	0.000507	L324	0.009988	L328	
[TOP PAGE] /	GET	L320	0.003961	L323	0.000489	L327	0.009584	L331	
[TOP PAGE] /	GET	L320	0.003158	L323	0.000282	L327	0.007620	L331	
[TOP PAGE] /	GET	L320	0.003328	L323	0.000283	L327	0.009218	L331	
[TOP PAGE] /	GET	L320	0.003470	L323	0.000416	L327	0.009228	L331	
[TOP PAGE] /	GET	L320	0.002990	L323	0.000448	L327	0.008924	L331	
[TOP PAGE] /	GET	L320	0.002508	L323	0.000387	L327	0.008566	L331	
[TOP PAGE] /	GET	L320	0.003758	L323	0.000518	L327	0.007583	L331	
[TOP PAGE] /	GET	L321	0.004463	L324	0.000537	L328	0.012377	L332	
[TOP PAGE] /	GET	L321	0.003263	L324	0.000562	L328	0.011599	L332	
[TOP PAGE] /	GET	L321	0.002666	L324	0.000413	L328	0.010565	L332	
[TOP PAGE] /	GET	L321	0.002757	L324	0.000416	L328	0.008926	L332	
[TOP PAGE] /	GET	L317	0.002753	L320	0.000283	L324	0.008418	L328	
[TOP PAGE] /	GET	L318	0.004306	L321	0.000431	L325	0.006856	L329	
[TOP PAGE] /	GET	L318	0.004195	L321	0.000297	L325	0.005382	L329	
[TOP PAGE] /	GET	L318	0.002814	L321	0.000298	L325	0.005796	L329	
[TOP PAGE] /	GET	L318	0.003192	L321	0.000337	L325	0.005481	L329	
[TOP PAGE] /	GET	L318	0.002863	L321	0.000331	L325	0.005638	L329	
[TOP PAGE] /	GET	L318	0.003323	L321	0.000294	L325	0.007402	L329	
[TOP PAGE] /	GET	L318	0.003500	L321	0.000348	L325	0.006513	L329	
[TOP PAGE] /	GET	L318	0.003477	L321	0.000289	L325	0.007159	L329	
[TOP PAGE] /	GET	L318	0.002782	L321	0.000447	L325	0.005551	L329	
[TOP PAGE] /	GET	L318	0.003566	L321	0.000298	L325	0.005229	L329	
[TOP PAGE] /	GET	L318	0.008493	L321	0.000789	L325	0.026755	L329	
[TOP PAGE] /	GET	L318	0.013303	L321	0.001097	L325	0.022195	L329	
